노선명,노선번호,시도명,시군구명,도로구간-기점,도로구간-종점,도로구간-기점(위도),도로구간-기점(경도),도로구간-종점(위도),도로구간-종점(경도),주요경유지,총길이(km),일반도로너비(m),자전거도로너비(m),자전거도로종류,자전거도로고시유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
문장로2L-11,,경상북도,구미시,경상북도 구미시 고아읍 원호리 466,경상북도 구미시 도량동 792-266,36.149867,128.330885,36.141458,128.332315,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로2L-12,,경상북도,구미시,경상북도 구미시 고아읍 원호리 466,경상북도 구미시 도량동 792-266,36.149867,128.330885,36.141458,128.332315,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로2L-13,,경상북도,구미시,경상북도 구미시 고아읍 원호리 466,경상북도 구미시 도량동 792-266,36.149867,128.330885,36.141458,128.332315,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로2L-14,,경상북도,구미시,경상북도 구미시 고아읍 원호리 466,경상북도 구미시 도량동 792-266,36.149867,128.330885,36.141458,128.332315,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로2L-15,,경상북도,구미시,경상북도 구미시 고아읍 원호리 466,경상북도 구미시 도량동 792-266,36.149867,128.330885,36.141458,128.332315,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로2L-16,,경상북도,구미시,경상북도 구미시 고아읍 원호리 466,경상북도 구미시 도량동 792-266,36.149867,128.330885,36.141458,128.332315,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로2L-17,,경상북도,구미시,경상북도 구미시 고아읍 원호리 466,경상북도 구미시 도량동 792-266,36.149867,128.330885,36.141458,128.332315,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로2L-18,,경상북도,구미시,경상북도 구미시 고아읍 원호리 466,경상북도 구미시 도량동 792-266,36.149867,128.330885,36.141458,128.332315,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로2L-19,,경상북도,구미시,경상북도 구미시 고아읍 원호리 466,경상북도 구미시 도량동 792-266,36.149867,128.330885,36.141458,128.332315,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로3L-1,,경상북도,구미시,경상북도 구미시 도량동 792-266,경상북도 구미시 원평동 6-25,36.141458,128.332315,36.133557,128.331709,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로3L-2,,경상북도,구미시,경상북도 구미시 도량동 792-266,경상북도 구미시 원평동 6-25,36.141458,128.332315,36.133557,128.331709,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로3L-3,,경상북도,구미시,경상북도 구미시 도량동 792-266,경상북도 구미시 원평동 6-25,36.141458,128.332315,36.133557,128.331709,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로3L-4,,경상북도,구미시,경상북도 구미시 도량동 792-266,경상북도 구미시 원평동 6-25,36.141458,128.332315,36.133557,128.331709,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로3L-5,,경상북도,구미시,경상북도 구미시 도량동 792-266,경상북도 구미시 원평동 6-25,36.141458,128.332315,36.133557,128.331709,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로3L-6,,경상북도,구미시,경상북도 구미시 도량동 792-266,경상북도 구미시 원평동 6-25,36.141458,128.332315,36.133557,128.331709,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로3L-7,,경상북도,구미시,경상북도 구미시 도량동 792-266,경상북도 구미시 원평동 6-25,36.141458,128.332315,36.133557,128.331709,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로3L-8,,경상북도,구미시,경상북도 구미시 도량동 792-266,경상북도 구미시 원평동 6-25,36.141458,128.332315,36.133557,128.331709,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로3L-9,,경상북도,구미시,경상북도 구미시 도량동 792-266,경상북도 구미시 원평동 6-25,36.141458,128.332315,36.133557,128.331709,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로3L-10,,경상북도,구미시,경상북도 구미시 도량동 792-266,경상북도 구미시 원평동 6-25,36.141458,128.332315,36.133557,128.331709,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로3L-11,,경상북도,구미시,경상북도 구미시 도량동 792-266,경상북도 구미시 원평동 6-25,36.141458,128.332315,36.133557,128.331709,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로3L-12,,경상북도,구미시,경상북도 구미시 도량동 792-266,경상북도 구미시 원평동 6-25,36.141458,128.332315,36.133557,128.331709,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로3L-13,,경상북도,구미시,경상북도 구미시 도량동 792-266,경상북도 구미시 원평동 6-25,36.141458,128.332315,36.133557,128.331709,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
울산신항R,,울산광역시,남구,울산광역시 남구 황성동 841-1,울산광역시 남구 황성동 869-1,,,,,,3.97,,2,,,울산광역시청 종합건설본부,,2025-02-12,6310000,울산광역시
문장로3L-14,,경상북도,구미시,경상북도 구미시 도량동 792-266,경상북도 구미시 원평동 6-25,36.141458,128.332315,36.133557,128.331709,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로3L-15,,경상북도,구미시,경상북도 구미시 도량동 792-266,경상북도 구미시 원평동 6-25,36.141458,128.332315,36.133557,128.331709,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로3L-16,,경상북도,구미시,경상북도 구미시 도량동 792-266,경상북도 구미시 원평동 6-25,36.141458,128.332315,36.133557,128.331709,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로3L-17,,경상북도,구미시,경상북도 구미시 도량동 792-266,경상북도 구미시 원평동 6-25,36.141458,128.332315,36.133557,128.331709,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로3L-18,,경상북도,구미시,경상북도 구미시 도량동 792-266,경상북도 구미시 원평동 6-25,36.141458,128.332315,36.133557,128.331709,,0.03,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로26길1R-1,,경상북도,구미시,경상북도 구미시 고아읍 원호리 469,경상북도 구미시 고아읍 원호리 462,36.151763,128.329561,36.152487,128.331935,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로26길1R-2,,경상북도,구미시,경상북도 구미시 고아읍 원호리 469,경상북도 구미시 고아읍 원호리 462,36.151763,128.329561,36.152487,128.331935,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로26길1R-3,,경상북도,구미시,경상북도 구미시 고아읍 원호리 469,경상북도 구미시 고아읍 원호리 462,36.151763,128.329561,36.152487,128.331935,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로26길1R-4,,경상북도,구미시,경상북도 구미시 고아읍 원호리 469,경상북도 구미시 고아읍 원호리 462,36.151763,128.329561,36.152487,128.331935,,0.04,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로26길1L-1,,경상북도,구미시,경상북도 구미시 고아읍 원호리 469,경상북도 구미시 고아읍 원호리 462,36.151963,128.329849,36.152631,128.331876,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로26길1L-2,,경상북도,구미시,경상북도 구미시 고아읍 원호리 469,경상북도 구미시 고아읍 원호리 462,36.151963,128.329849,36.152631,128.331876,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로26길1L-3,,경상북도,구미시,경상북도 구미시 고아읍 원호리 469,경상북도 구미시 고아읍 원호리 462,36.151963,128.329849,36.152631,128.331876,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로26길1L-4,,경상북도,구미시,경상북도 구미시 고아읍 원호리 469,경상북도 구미시 고아읍 원호리 462,36.151963,128.329849,36.152631,128.331876,,0.04,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1R-1,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154554,128.330876,36.150517,128.332646,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1R-2,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154554,128.330876,36.150517,128.332646,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1R-3,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154554,128.330876,36.150517,128.332646,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1R-4,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154554,128.330876,36.150517,128.332646,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1R-5,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154554,128.330876,36.150517,128.332646,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1R-6,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154554,128.330876,36.150517,128.332646,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1R-7,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154554,128.330876,36.150517,128.332646,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1R-8,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154554,128.330876,36.150517,128.332646,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1R-9,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154554,128.330876,36.150517,128.332646,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1R-10,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154554,128.330876,36.150517,128.332646,,0.02,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1L-1,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154581,128.331005,36.150486,128.332828,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1L-2,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154581,128.331005,36.150486,128.332828,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1L-3,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154581,128.331005,36.150486,128.332828,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1L-4,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154581,128.331005,36.150486,128.332828,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1L-5,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154581,128.331005,36.150486,128.332828,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1L-6,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154581,128.331005,36.150486,128.332828,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1L-7,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154581,128.331005,36.150486,128.332828,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1L-8,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154581,128.331005,36.150486,128.332828,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1L-9,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154581,128.331005,36.150486,128.332828,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길1L-10,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 462,36.154581,128.331005,36.150486,128.332828,,0.02,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길2R-1,,경상북도,구미시,경상북도 구미시 고아읍 원호리 462,경상북도 구미시 고아읍 원호리 466,36.150517,128.332646,36.149921,128.330913,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길2R-2,,경상북도,구미시,경상북도 구미시 고아읍 원호리 462,경상북도 구미시 고아읍 원호리 466,36.150517,128.332646,36.149921,128.330913,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길2R-3,,경상북도,구미시,경상북도 구미시 고아읍 원호리 462,경상북도 구미시 고아읍 원호리 466,36.150517,128.332646,36.149921,128.330913,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길2R-4,,경상북도,구미시,경상북도 구미시 고아읍 원호리 462,경상북도 구미시 고아읍 원호리 466,36.150517,128.332646,36.149921,128.330913,,0.02,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길2L-1,,경상북도,구미시,경상북도 구미시 고아읍 원호리 462,경상북도 구미시 고아읍 원호리 466,36.150388,128.332733,36.149793,128.330943,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길2L-2,,경상북도,구미시,경상북도 구미시 고아읍 원호리 462,경상북도 구미시 고아읍 원호리 466,36.150388,128.332733,36.149793,128.330943,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길2L-3,,경상북도,구미시,경상북도 구미시 고아읍 원호리 462,경상북도 구미시 고아읍 원호리 466,36.150388,128.332733,36.149793,128.330943,,0.05,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
문장로22길2L-4,,경상북도,구미시,경상북도 구미시 고아읍 원호리 462,경상북도 구미시 고아읍 원호리 466,36.150388,128.332733,36.149793,128.330943,,0.02,,3,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로1R-1,,경상북도,구미시,경상북도 구미시 도량동 6-3,경상북도 구미시 고아읍 원호리 407,36.151785,128.323205,36.153526,128.328055,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로1R-2,,경상북도,구미시,경상북도 구미시 도량동 6-3,경상북도 구미시 고아읍 원호리 407,36.151785,128.323205,36.153526,128.328055,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로1R-3,,경상북도,구미시,경상북도 구미시 도량동 6-3,경상북도 구미시 고아읍 원호리 407,36.151785,128.323205,36.153526,128.328055,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로1R-4,,경상북도,구미시,경상북도 구미시 도량동 6-3,경상북도 구미시 고아읍 원호리 407,36.151785,128.323205,36.153526,128.328055,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로1R-5,,경상북도,구미시,경상북도 구미시 도량동 6-3,경상북도 구미시 고아읍 원호리 407,36.151785,128.323205,36.153526,128.328055,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로1R-6,,경상북도,구미시,경상북도 구미시 도량동 6-3,경상북도 구미시 고아읍 원호리 407,36.151785,128.323205,36.153526,128.328055,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로1R-7,,경상북도,구미시,경상북도 구미시 도량동 6-3,경상북도 구미시 고아읍 원호리 407,36.151785,128.323205,36.153526,128.328055,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로1R-8,,경상북도,구미시,경상북도 구미시 도량동 6-3,경상북도 구미시 고아읍 원호리 407,36.151785,128.323205,36.153526,128.328055,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로1R-9,,경상북도,구미시,경상북도 구미시 도량동 6-3,경상북도 구미시 고아읍 원호리 407,36.151785,128.323205,36.153526,128.328055,,0.05,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로1R-10,,경상북도,구미시,경상북도 구미시 도량동 6-3,경상북도 구미시 고아읍 원호리 407,36.151785,128.323205,36.153526,128.328055,,0.01,,5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로2R-1,,경상북도,구미시,경상북도 구미시 고아읍 원호리 407,경상북도 구미시 고아읍 원호리 438,36.153526,128.328055,36.154499,128.330812,,0.05,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로2R-2,,경상북도,구미시,경상북도 구미시 고아읍 원호리 407,경상북도 구미시 고아읍 원호리 438,36.153526,128.328055,36.154499,128.330812,,0.05,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로2R-3,,경상북도,구미시,경상북도 구미시 고아읍 원호리 407,경상북도 구미시 고아읍 원호리 438,36.153526,128.328055,36.154499,128.330812,,0.05,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로2R-4,,경상북도,구미시,경상북도 구미시 고아읍 원호리 407,경상북도 구미시 고아읍 원호리 438,36.153526,128.328055,36.154499,128.330812,,0.05,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로2R-5,,경상북도,구미시,경상북도 구미시 고아읍 원호리 407,경상북도 구미시 고아읍 원호리 438,36.153526,128.328055,36.154499,128.330812,,0.03,,2.5,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로3R-1,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 219-3,36.154499,128.330812,36.156163,128.334866,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로3R-2,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 219-3,36.154499,128.330812,36.156163,128.334866,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로3R-3,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 219-3,36.154499,128.330812,36.156163,128.334866,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로3R-4,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 219-3,36.154499,128.330812,36.156163,128.334866,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로3R-5,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 219-3,36.154499,128.330812,36.156163,128.334866,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로3R-6,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 219-3,36.154499,128.330812,36.156163,128.334866,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로3R-7,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 219-3,36.154499,128.330812,36.156163,128.334866,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로3R-8,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 219-3,36.154499,128.330812,36.156163,128.334866,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로3R-9,,경상북도,구미시,경상북도 구미시 고아읍 원호리 438,경상북도 구미시 고아읍 원호리 219-3,36.154499,128.330812,36.156163,128.334866,,0.01,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로4R-1,,경상북도,구미시,경상북도 구미시 고아읍 원호리 219-3,경상북도 구미시 고아읍 원호리 118-5,36.156163,128.334866,36.157258,128.336893,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로4R-2,,경상북도,구미시,경상북도 구미시 고아읍 원호리 219-3,경상북도 구미시 고아읍 원호리 118-5,36.156163,128.334866,36.157258,128.336893,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로4R-3,,경상북도,구미시,경상북도 구미시 고아읍 원호리 219-3,경상북도 구미시 고아읍 원호리 118-5,36.156163,128.334866,36.157258,128.336893,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로4R-4,,경상북도,구미시,경상북도 구미시 고아읍 원호리 219-3,경상북도 구미시 고아읍 원호리 118-5,36.156163,128.334866,36.157258,128.336893,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로4R-5,,경상북도,구미시,경상북도 구미시 고아읍 원호리 219-3,경상북도 구미시 고아읍 원호리 118-5,36.156163,128.334866,36.157258,128.336893,,0.04,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로5R-1,,경상북도,구미시,경상북도 구미시 고아읍 원호리 118-5,경상북도 구미시 고아읍 문성리 623,36.157262,128.336791,36.160381,128.342378,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로5R-2,,경상북도,구미시,경상북도 구미시 고아읍 원호리 118-5,경상북도 구미시 고아읍 문성리 623,36.157262,128.336791,36.160381,128.342378,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로5R-3,,경상북도,구미시,경상북도 구미시 고아읍 원호리 118-5,경상북도 구미시 고아읍 문성리 623,36.157262,128.336791,36.160381,128.342378,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로5R-4,,경상북도,구미시,경상북도 구미시 고아읍 원호리 118-5,경상북도 구미시 고아읍 문성리 623,36.157262,128.336791,36.160381,128.342378,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로5R-5,,경상북도,구미시,경상북도 구미시 고아읍 원호리 118-5,경상북도 구미시 고아읍 문성리 623,36.157262,128.336791,36.160381,128.342378,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로5R-6,,경상북도,구미시,경상북도 구미시 고아읍 원호리 118-5,경상북도 구미시 고아읍 문성리 623,36.157262,128.336791,36.160381,128.342378,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로5R-7,,경상북도,구미시,경상북도 구미시 고아읍 원호리 118-5,경상북도 구미시 고아읍 문성리 623,36.157262,128.336791,36.160381,128.342378,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
들성로5R-8,,경상북도,구미시,경상북도 구미시 고아읍 원호리 118-5,경상북도 구미시 고아읍 문성리 623,36.157262,128.336791,36.160381,128.342378,,0.05,,4,자전거보행자겸용도로,N,경상북도 구미시청,054-480-5485,2025-02-20,5080000,경상북도 구미시
